,PBW_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-05-27,36.49553680419922,32.36000061035156,41.939998626708984,32.15999984741211,63.82,20.94,0.0,32.11983093261719,38.35733283042908,60.07423616245477,-192.26189928657035,-107.72263149810004,-92.26189928657037,-104.16848157897824,19.633873913204503,0.9559415254110917,1.0071456034258017,-1.019386658853405,-261900.0,46.74899324214611
2009-05-28,36.83380126953125,31.670000076293945,40.810001373291016,31.520000457763672,95.79,34.29,0.0,32.343088722229005,38.18462733268738,61.1767519177723,-191.35109230324073,-102.8232925591754,-91.35109230324073,-94.62396801642103,19.5812213062606,1.0214898003056945,1.0100144428017803,3.4847113507523453,-208000.0,49.946926630670035
2009-05-29,37.510337829589844,28.920000076293945,41.31999969482422,29.440000534057617,82.82,7.01,0.41,32.564843063354495,38.0141769695282,63.35622426920283,-177.3192021155993,-95.25661583240093,-77.31920211559931,-86.9773979018035,19.779480304367535,1.1151731053667646,1.0310461753147773,3.0991684845734557,-55600.0,52.24141945827407
2009-06-01,39.84064865112305,30.040000915527344,42.459999084472656,30.719999313354492,111.67,31.41,0.0,32.83019676208496,37.84523003578186,69.67180541084569,-131.1266095952964,-82.7334446409789,-31.126609595296387,-66.59896800471216,21.013612308543053,1.3617569215298815,1.097188324557798,10.416669089478958,66100.0,59.35406211379474
2009-06-02,39.80307388305664,29.6299991607666,42.150001525878906,30.610000610351562,196.26,23.78,0.46,33.112840003967285,37.6715850353241,69.46391259375234,-129.46476098193486,-66.51551893470862,-29.46476098193486,-45.9701908976102,22.360577197531704,1.5364333552987688,1.1850373307059923,12.420418400160148,-85880.0,70.12227071059127
2009-06-03,38.637908935546875,31.020000457763672,45.290000915527344,31.450000762939453,76.74,44.07,0.0,33.335346450805666,37.494369382858274,63.169362428811425,-140.20360993466846,-48.72249524654077,-40.20360993466847,-33.59832683729993,22.272481037845772,1.5628312679340297,1.2605961181515997,18.296852606620728,-227620.0,67.87835115464941
2009-06-04,40.36684799194336,30.18000030517578,46.13999938964844,31.059999465942383,77.99,17.06,0.33,33.60070045471191,37.32805344581604,67.82801452455047,-131.08798084435378,-37.71798944063195,-31.087980844353773,-33.58545058698572,22.481947899853687,1.7036244146065656,1.3492017774425928,19.866102907718886,-117040.0,73.68449865431191
2009-06-05,41.04338455200195,29.6200008392334,45.75,30.709999084472656,72.36,35.18,0.41,33.86530258178711,37.167939291000366,69.45608077553594,-130.25109348672737,-33.67711294873408,-30.251093486727374,-33.84756142191656,22.95822305927867,1.848486640698198,1.4490587500937138,24.800007887519328,43900.0,79.40223771192106
2009-06-08,40.4044303894043,29.770000457763672,46.599998474121094,31.18000030517578,92.38,10.54,0.0,34.05623699188232,36.99617360115051,66.05614620920629,-149.69504156439785,-34.81479465802065,-49.69504156439784,-37.011371965159675,22.877163679650174,1.8899466095291686,1.5372363219808047,18.13186923492851,-40740.0,73.16645749057602
2009-06-09,41.49440383911133,28.270000457763672,45.88999938964844,29.690000534057617,120.48,8.11,0.0,34.276488037109374,36.82966979026794,68.8567703758887,-137.00094183545917,-36.61376411642368,-37.000941835459166,-38.98235896219481,23.364321890547476,1.9878410869713292,1.6273572749789096,18.582141408010088,138960.0,74.96334952725022
